Station,10-17,18-24,25-40,41-59,60+,Unknown,Total
"N,Q,R",1,0,3,2,0,0,6
CHAMBERS ST.-WORLD TRADE CENTER,5,46,38,16,2,0,107
"A,C,E",5,46,38,16,2,0,107
CHAMBERS STREET,1,16,26,14,0,0,57
"1,2,3",1,16,24,12,0,0,53
"J,Z",0,0,2,2,0,0,4
CHRISTOPHER ST.-SHERIDAN SQ.,0,8,9,3,1,0,21
1,0,8,9,3,1,0,21
CITY HALL,0,1,1,0,0,0,2
R,0,1,1,0,0,0,2
CORTLANDT STREET,0,6,3,1,1,0,11
1,0,3,3,0,1,0,7
R,0,3,0,1,0,0,4
DELANCEY STREET,1,33,52,27,0,0,113
F,1,33,52,27,0,0,113
DISTRICT 1 OFFICE,0,3,3,1,0,0,7
N/A,0,3,3,1,0,0,7
DISTRICT 4 OFFICE,0,3,3,1,0,0,7
N/A,0,3,3,1,0,0,7
EAST BROADWAY,0,7,7,2,0,0,16
F,0,7,7,2,0,0,16
ESSEX STREET,0,5,5,0,0,0,10
"J,M,Z",0,5,5,0,0,0,10
FRANKLIN STREET,0,2,8,0,1,0,11
1,0,2,8,0,1,0,11
FULTON STREET,7,69,70,16,1,1,164
"2,3",0,5,6,0,0,0,11
"4,5",6,55,59,13,1,1,135
"J,Z",1,9,5,3,0,0,18
GRAND STREET,0,4,4,1,1,0,10
"B,D",0,4,4,1,1,0,10
HOUSTON STREET,0,1,1,0,0,0,2
1,0,1,1,0,0,0,2
